"progress","duration","qualtrics_id","id","doi","d_filter","d_synth","c_filter","comments","cr-1","cr-1-1	","cr-1-2","cr-3","cr-3-text","cr-4","cr-4-text","cr-f-1","cr-f-2","cr-f-1-1","cr-a-1","cr-a-2","cr-i-1","cr-i-2","cr-i-3","cr-i-4","cr-r-1","cr-r-2","cr-r-3","cr-r-1-1","dr-1","dr-1-1","dr-1-2","dr-1-2-1","dr-2","dr-2-1","dr-f-1","dr-f-2","dr-f-3","dr-f-1-1","dr-a-1","dr-a-2","dr-i-1","dr-i-2","dr-r-1","dr-r-2","dr-r-3","dr-r-1-1"
"100","1223","R_3v611AgFdQoHcL0","88","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2279975","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.24422143","","","Unclear, specify why","Only key codes are presented.","Yes","Yes","https://doi.org/10.6084/m9.figshare.24422143","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Unclear","cc by 4.0","Yes","https://doi.org/10.6084/m9.figshare.24422143","","","Yes","https://doi.org/10.6084/m9.figshare.24422143","Yes","Yes","Yes","","Yes","No","Yes","Yes","No","Yes","No",""
"100","128","R_3nViKXhetIszov2","89","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2280990","Yes","Yes","Yes","","Yes","github","https://github.com/afxltsbl/Regional-Feature-Extraction","","","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Apache License","Yes","https://github.com/afxltsbl/Regional-Feature-Extraction","","","Yes","https://github.com/afxltsbl/Regional-Feature-Extraction","Yes","Yes","Yes","","Yes","No","Yes","Yes","Yes","Yes","No","Apache Licence"
"100","1032","R_3wGlJlb8uyoZR6Q","90","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2285459","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.21218372","","","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unclear","","Yes","https://doi.org/10.6084/m9.figshare.21218372","","","Yes","https://doi.org/10.6084/m9.figshare.21218372","Yes","Yes","No","https://doi.org/10.6084/m9.figshare.21218372","Yes","No","Yes","Yes","No","Yes","No",""
"100","1277","R_3OcVHjW68ujkQ1s","91","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2279969","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.22679116","","","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Unclear","cc by 4.0","Yes","https://doi.org/10.6084/m9.figshare.22679116","","","Yes","https://doi.org/10.6084/m9.figshare.22679116","Yes","Yes","Yes","https://doi.org/10.6084/m9.figshare.22679116","Yes","No","Yes","Yes","No","Yes","No",""
"100","601","R_3WTM30HJdmCqvHr","92","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2279977","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.23529336","","","Yes","","Yes","No","https://doi.org/10.6084/m9.figshare.23529336","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Unclear","cc by 4.0","Yes","https://doi.org/10.6084/m9.figshare.23529336","","","Yes","https://doi.org/10.6084/m9.figshare.23529336","Yes","No","Yes","","Yes","No","Yes","Yes","No","Yes","No",""
"100","176","R_3gOyrLgtaX8mH1I","93","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2284908","Yes","Yes","Yes","","Yes","official website: science data bank","https://doi.org/10.57760/sciencedb.13084","","","Unclear, specify why","","Yes","Yes","","Yes","Yes","Yes","Yes","No","No","No","Yes","No","","Yes","https://doi.org/10.57760/sciencedb.13084","","","Yes","https://doi.org/10.57760/sciencedb.13084","Yes","Yes","Yes","https://doi.org/10.57760/sciencedb.13084","Yes","Unclear","Yes","Yes","Unclear","Yes","Unclear",""
"100","413","R_3iPfK1P5mPIZaPV","94","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2285471","Yes","Yes","Yes","","Partial, some code cannot be accessed","figshare","https://doi.org/10.6084/m9.figshare.24515218","Unethical due to privacy concerns","","No","","Yes","No","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","cc by 4.0","Partial, some data cannot be accessed","https://doi.org/10.6084/m9.figshare.24515218","Unethical due to privacy concerns","","No","","Yes","No","Yes","","Yes","No","Yes","Yes","No","Yes","No",""
"100","146","R_30uThO8mkWBMW65","95","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2394651","Yes","Yes","Yes","","Yes","github","https://github.com/wenwu-tang/SAPSPAR","","","Unclear, specify why","Only key codes are presented.","Yes","Yes","","Yes","Yes","Yes","Yes","Unclear","No","Yes","Yes","Yes","GNU General Public License v3.0","Yes","https://github.com/wenwu-tang/SAPSPAR","","","Yes","https://github.com/wenwu-tang/SAPSPAR","Yes","No","Yes","","Yes","No","Yes","Yes","No","Yes","No",""
"100","284","R_3nYJdqoxUQaL5dZ","96","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2266824","Yes","Yes","Yes","","Yes","github","https://github.com/ruirzma/osmsc","","","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","MIT License","Yes","https://doi.org/10.6084/m9.figshare.21779507.v2","","","Yes","https://doi.org/10.6084/m9.figshare.21779507.v2","Yes","No","Yes","","Yes","No","Yes","Yes","No","Yes","No",""
"100","517","R_3OJkJrnYRAf1lU5","97","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2270285","Yes","Yes","Yes","","No","","","Other, please specify","","No","","","","","","","","","","","","","","","No","","Other, please specify","provided a link, however the link not available.","No","","","","","","","","","","","","",""
"100","197","R_3hyGmU252hd4PjB","98","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2274475","Yes","Yes","Yes","","Yes","github","https://github.com/kellyhuang-gis/traffic-noise-estimation","","","Yes","","Yes","Yes","","Yes","Yes","No","No","Yes","No","No","Yes","Unclear","","Yes","https://github.com/kellyhuang-gis/traffic-noise-estimation","","","Yes","https://github.com/kellyhuang-gis/traffic-noise-estimation","Yes","Yes","No","","Yes","No","Yes","Yes","No","Yes","No",""
"100","138","R_3kQi7zqlST42nRf","99","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2268665","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.24230179","","","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Unclear","cc by 4.0","Yes","https://doi.org/10.6084/m9.figshare.24230179","","","Yes","","Yes","No","Yes","","Yes","No","Yes","Yes","No","Yes","No",""
"100","141","R_35ZRfkRIIObsN57","100","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2271956","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.21779741.v2","","","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","cc by 4.0","Yes","https://doi.org/10.6084/m9.figshare.21779741.v2","","","Yes","https://doi.org/10.6084/m9.figshare.21779741.v2","Yes","No","Yes","https://doi.org/10.6084/m9.figshare.21779741.v2","Yes","No","Yes","Yes","No","Yes","No",""
"100","135","R_3hFgJcbpuKm8dsO","101","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2273877","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.24311983","","","Unclear, specify why","","Yes","Yes","","Yes","Yes","No","No","No","No","Yes","Yes","Unclear","cc by 4.0","Yes","https://doi.org/10.6084/m9.figshare.24311983","","","Yes","https://doi.org/10.6084/m9.figshare.24311983","Yes","Yes","Yes","","Yes","No","Yes","Yes","No","Yes","No",""
"100","113","R_3McfObg9q7yT3Cx","102","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2275160","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.22678153","","","Unclear, specify why","","Yes","Yes","","Yes","Yes","Yes","No","No","No","Yes","Yes","Unclear","cc by 4.0","Yes","https://doi.org/10.6084/m9.figshare.22678153","","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","No","Yes","No",""
"100","1189","R_3abDfE6tALMTfdQ","103","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2400260","Yes","Yes","Yes","","Partial, some code cannot be accessed","figshare","https://doi.org/10.6084/m9.figshare.25662030","Unethical due to privacy concerns","","No","","Yes","Yes","","Yes","Yes","No","No","No","No","Yes","Yes","No","cc by 4.0","Partial, some data cannot be accessed","https://doi.org/10.6084/m9.figshare.25662030","Unethical due to privacy concerns","","No","","Yes","Yes","No","","Yes","No","Yes","No","No","No","No",""
"100","120","R_36PvdL6WGsEEk49","104","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2399142","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.25108325.v1","","","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Unclear","cc by 4.0","Yes","https://doi.org/10.6084/m9.figshare.25108325.v1","","","Yes","","Yes","Yes","Yes","","Yes","No","Yes","Unclear","No","Yes","No",""
"100","114","R_3hkP4Fp9WvhzoFH","105","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2399144","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.24961593","","","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Unclear","cc by 4.0","Yes","https://doi.org/10.6084/m9.figshare.24961593","","","Yes","","Yes","Yes","Yes","","Yes","No","Yes","Yes","No","Yes","No",""
"100","93","R_3Nbka20LTrW0UXm","106","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2279978","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","677","R_31SluX54AZOK4lm","107","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2254382","Yes","Yes","Yes","","Yes","github","https://doi.org/10.25392/leicester.data.20503311","","","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","MIT","Yes","https://doi.org/10.25392/leicester.data.20503311","","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Open Government License v3"
"100","579","R_3YunjhZXXFdGi8y","108","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2209803","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/software/IJGIS_script_py/20493012/1","","","Unclear, specify why","","Yes","Yes","","Yes","Yes","Yes","Yes","No","No","No","Yes","Unclear","","Yes","https://github.com/browak/Nowak-Price-Smith-JREFE-2019","","","Yes","","Yes","No","Yes","","Yes","No","Yes","Yes","No","Yes","No",""
"100","97","R_3Wm0ZQ52c5jn9Dz","109","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2214592","Yes","Yes","Yes","","Yes","github","https://github.com/booboo18/PlausibleUrbanCounterfactual","","","No","","Yes","Yes","","Yes","Yes","Yes","Yes","No","No","No","Yes","No","","No","","No reason was provided","","No","","","","","","","","","","","","",""
"100","127","R_3LYzbqtlEWg5QI1","110","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2264921","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/journal_contribution/Datasets_and_CodesPredicting_households_residential_mobility_trajectories_A_with_Geographically_Localized_Interpretable_Model-agnostic_Explanation_GLIME_/21543549/1","","","Unclear, specify why","","Yes","No","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Unclear","cc by 4.0","Yes","","","","Yes","https://figshare.com/articles/journal_contribution/Datasets_and_CodesPredicting_households_residential_mobility_trajectories_A_with_Geographically_Localized_Interpretable_Model-agnostic_Explanation_GLIME_/21543549/1","Yes","Yes","Yes","","Yes","No","Yes","Yes","No","Yes","No",""
"100","197","R_3Lk78B48Rk3dcAx","111","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2268668","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.21608310","","","Unclear, specify why","Only key codes are presented.","Yes","Yes","","Yes","Yes","Yes","No","No","No","Yes","Yes","Unclear","cc by 4.0","Yes","https://doi.org/10.6084/m9.figshare.21608310","","","Yes","https://doi.org/10.6084/m9.figshare.21608310","Yes","Yes","Yes","","Yes","No","Yes","Unclear","No","Yes","No",""
"100","199","R_3gkT8EQPck8niXT","112","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2262550","Yes","Yes","Yes","","Partial, some code cannot be accessed","figshare","https://doi.org/10.6084/m9.figshare.20760970","Limited by data contract","","No","","Yes","Yes","https://doi.org/10.6084/m9.figshare.20760970","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","cc by 4.0","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2262550","","","No","","Yes","Yes","Yes","","Yes","No","Yes","Yes","No","Yes","No",""
"100","220","R_3MNi5HCNwmBon17","113","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2266493","Yes","Yes","Yes","","Yes","github","https://github.com/Nithouson/regreg","","","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","No","Unclear","Yes","Yes","","Yes","https://github.com/Nithouson/regreg","","","Yes","https://github.com/Nithouson/regreg","Yes","Yes","Yes","https://github.com/Nithouson/regreg","Yes","Unclear","Yes","Yes","Unclear","Yes","Yes",""
"100","239","R_3bPDm4VjbhEsqIp","114","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2254825","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.22708156","","","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Unclear","No","Yes","Yes","Yes","GPL 3.0+","Yes","https://doi.org/10.6084/m9.figshare.22708156","","","Yes","https://doi.org/10.6084/m9.figshare.22708156","Yes","Yes","Yes","","Yes","No","Yes","Yes","Yes","Yes","No","GPL 3.0+"
"100","165","R_3q9ca4SZnrO11Fg","115","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2266497","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/journal_contribution/Code_and_data_for_the_paper_Understanding_and_Extending_the_Geographical_Detector_Model_under_a_Linear_Regression_Framework/24196608","","","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Unclear","No","Yes","Yes","Yes","cc by 4.0","Yes","https://figshare.com/articles/journal_contribution/Code_and_data_for_the_paper_Understanding_and_Extending_the_Geographical_Detector_Model_under_a_Linear_Regression_Framework/24196608","","","Yes","https://figshare.com/articles/journal_contribution/Code_and_data_for_the_paper_Understanding_and_Extending_the_Geographical_Detector_Model_under_a_Linear_Regression_Framework/24196608","Yes","Yes","Yes","","Yes","No","Yes","Yes","Unclear","Yes","No",""
"100","190","R_39B4vqBBYPVMNLX","116","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2264942","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.21203147","","","Unclear, specify why","Only key codes are presented.","Yes","Yes","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Unclear","cc by 4.0","Yes","https://doi.org/10.6084/m9.figshare.21203147","","","Yes","https://doi.org/10.6084/m9.figshare.21203147","Yes","Yes","Yes","https://doi.org/10.6084/m9.figshare.21203147","Yes","No","Yes","Yes","No","Yes","No",""
"100","163","R_3liSpfMe9G5Fah6","117","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2254362","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.21384024.v1","","","Unclear, specify why","Only key codes are presented.","Yes","Yes","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Unclear","cc by 4.0","Yes","https://doi.org/10.6084/m9.figshare.21384024.v1","","","Yes","https://doi.org/10.6084/m9.figshare.21384024.v1","Yes","Yes","Yes","https://doi.org/10.6084/m9.figshare.21384024.v1","Yes","No","Yes","No","No","Yes","No",""
"100","138","R_35nAefUwXWpSHex","118","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2257262","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.24081699","","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.24081699","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","cc by 4.0","Yes","https://doi.org/10.6084/m9.figshare.24081699","","","Yes","https://doi.org/10.6084/m9.figshare.24081699","Yes","Yes","Yes","https://doi.org/10.6084/m9.figshare.24081699","Yes","No","Yes","Yes","Unclear","Yes","No",""
"100","112","R_3rYKMDXafx2TQ1t","119","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2246154","Yes","Yes","Yes","","Yes","github","https://github.com/shaohu/MGWR","","","Yes","","Yes","No","","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","https://github.com/shaohu/MGWR","Yes","https://github.com/shaohu/MGWR","","","Yes","https://github.com/shaohu/MGWR","Yes","Yes","Yes","https://github.com/shaohu/MGWR","Yes","No","Yes","Yes","No","Yes","No",""
"100","176","R_3qxMaOeaMEoZC3o","120","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2248215","Yes","Yes","Yes","","Yes","science web","https://doi.org/10.17605/OSF.IO/6ZU4T","","","Unclear, specify why","","Yes","Yes","","Yes","Yes","Yes","Yes","Unclear","No","Unclear","Yes","Unclear","","Yes","https://doi.org/10.17605/OSF.IO/6ZU4T","","","Yes","https://doi.org/10.17605/OSF.IO/6ZU4T","Yes","Yes","Yes","https://doi.org/10.17605/OSF.IO/6ZU4T","Yes","Yes","Yes","Yes","Unclear","Yes","Yes",""
"100","351","R_5OIz6LF1FrYSgrq","357","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1802032","No","No","No","Conceptual paper about R&R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","97","R_5AJOJyF37s9jfQ5","370","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1766244","No","No","No","Editorial paper linking GISci to sustainability goals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","202","R_5rJfvth4VOJvjWZ","371","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1776870","Yes","No","Yes","This was a meta-analysis of publications. Data on pubs was used to make basic summary stats. No data or code is shared.","No","","","No reason was provided","","","","","","","","","","","","","","","","","No","","No reason was provided","","No","","","","","","","","","","","","",""
"100","285","R_55YEtCPSURVnOHD","415","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1712403","No","No","No","Conceptual article on MCA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","35","R_5ertBqy5a3EfuLB","414","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1712404","No","No","No","Editorial review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","90","R_5CjwhNNHEfRDpwS","412","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1725017","No","No","No","Intro to Special Issue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","254","R_3EJU7FnumPeYGCm","398","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1719495","Yes","No","Yes","Authors describe datasets and code in methods section. None provided","No","","","No reason was provided","","","","","","","","","","","","","","","","","No","","No reason was provided","","No","","","","","","","","","","","","",""
"100","729","R_3ISDDrHwuRxNYwI","392","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1737702","Yes","Yes","Yes","The Figshare site could not be found given the information in the publication","No","","","Other, please specify","Unclear, could not access site","Unclear, specify why","Described, but lacking sufficient detail","","","","","","","","","","","","","","Partial, some data cannot be accessed","10.6084/m9.figshare.11876490.v1;  http://www.chinacdc.cn; http://www.shiyan.gov.cn; http://captain.whu.edu.cn/GID/","Limited by data contract","","No","","Unclear","Unclear",NA,"","Unclear",NA,NA,NA,"Unclear","Unclear","Unclear",""
"100","462","R_35ApiQ8fGUJhyQF","379","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1798966","Yes","No","Yes","Metadata is loose description of data in readme","Yes","Figshare","https://figshare.com/articles/code/MPCD/12238025/1?file=22517708","","","","","Yes","Yes","10.6084/m9.figshare.12238025.v1","Yes","No","Yes","No","No","No","Yes","No",NA,"CC BY 4.0","Yes","https://github.com/xbdx-ipmi/ChanganLife","","","Yes","https://github.com/xbdx-ipmi/ChanganLife","No","Yes","No","","Yes",NA,"No","No","No","No","No",""
"100","48","R_3qFaPW4NubDh206","378","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1784425","No","No","No","Summary and Research Agenda Paper","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","92","R_3QLPH5FbKMnADss","363","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1798968","No","No","No","Practice review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","29","R_33dRkcvXpKw9yMX","357","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1802032","No","No","No","Research Agenda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","333","R_3YqSfjsQkgL1uBX","356","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1811868","Yes","No","Yes","","Yes","Figshare","https://figshare.com/articles/dataset/IJGIS_Data_zip/11944263/1?file=21927135","","","","","No","Yes","","Yes","Yes","No","No","No","No","Yes","Yes",NA,"CC BY 4.0","Partial, some data cannot be accessed","https://figshare.com/articles/dataset/IJGIS_Data_zip/11944263/1?file=21927135","Limited by data contract","","Yes","https://figshare.com/articles/dataset/IJGIS_Data_zip/11944263/1?file=21927135","No","Yes","No","","Yes","Unclear","No","No","Yes","Yes","No","CC BY 4.0"
"100","51","R_3H5KsGm4FqawTmO","315","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1869747","No","No","No","Framework Paper","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","48","R_3jsQawGysIN8eRP","299","https://www.tandfonline.com/doi/full/10.1080/13658816.2021.1919682","No","No","No","Literature Survey, Research Agenda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","75","R_3TFPhcXZB8FFPCH","265","https://www.tandfonline.com/doi/full/10.1080/13658816.2021.2004602","No","No","No","Review Paper","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","44","R_3eOF90ju96B637P","225","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2102637","No","No","No","Commentary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","32","R_3Yu1Vwhf9BHKHCt","202","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2125163","No","No","No","Framework Paper","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","964","R_3PE9c4BnRtDqwlX","372","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1755039","Yes","No","Yes","Procedural metadata for script sequence. None for data","Yes","Figshare"," https://doi.org/10.6084/m9.figshare.11369649","","","","","No","Yes","","Yes","Unclear","Yes","Yes","No","No","Yes","Yes","No","CC BY 4.0","Yes"," https://doi.org/10.6084/m9.figshare.11369649","","","Yes","https://figshare.com/articles/dataset/A_multicriteria_optimization_framework_for_the_definition_of_the_spatial_granularity_of_urban_social_media_analytics/11369649?file=22164405","Yes","Yes","No","https://figshare.com/articles/dataset/A_multicriteria_optimization_framework_for_the_definition_of_the_spatial_granularity_of_urban_social_media_analytics/11369649?file=22164405","Yes",NA,"No","No","Yes","No","No","CC BY 4.0"
"100","683","R_3snWPZE2EzGpaTV","418","https://www.tandfonline.com/doi/full/10.1080/13658816.2020.1725015","Yes","No","Yes","","Yes","Figshare","https://figshare.com/s/fa33812e909b0f71e049?file=20476299","","","","","No","Yes","","Yes","Yes","Yes","No","No","No","No","Unclear","Unclear","","No","","Limited by data contract","","No","","","","","","","","","","","","",""
"100","468","R_3QKkiNUklmcCKW5","121","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2248502","Yes","No","Yes","","Yes","Figshare","https://doi.org/10.6084/m9.figshare.21322401.v10","","","","","Yes","Yes","https://doi.org/10.6084/m9.figshare.21322401.v10","Yes","Yes","Unclear","No","No","No","Yes","Unclear","Unclear","CC BY 4.0","Yes","https://figshare.com/articles/dataset/Kriging_model_for_geographical_flow_interpolation/21322401/10","","","No","","Yes","Yes",NA,"https://doi.org/10.6084/m9.figshare.21322401.v10","Yes",NA,NA,NA,"Yes","Unclear","No","CC BY 4.0"
"100","252","R_3e8FoxeC19CETXo","122","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2249968","Yes","No","Yes","","Yes","Github","https://github.com/at932/MVCV-Traffic","","","","","No","Yes","","No","No","Yes","No","No","No","No","Unclear","Unclear","","Yes","https://github.com/at932/MVCV-Traffic","","","No","","No","Yes",NA,"","No",NA,NA,NA,"No","Unclear","No",""
"100","424","R_3AGotqXhcPoyjiR","123","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2250838","Yes","No","Yes","","Yes","Figshare","https://doi.org/10.6084/m9.figshare.21743021.v1","","","","","Yes","Yes","https://doi.org/10.6084/m9.figshare.21743021.v1","Yes","No","Yes","No","No","No","Yes","Unclear","Unclear","CC BY 4.0","Yes"," https://doi.org/10.6084/m9.figshare.21743021.v1","","","No","","Yes","Yes",NA,"https://doi.org/10.6084/m9.figshare.21743021.v1","Yes","Unclear",NA,NA,"Yes","No","Yes","CC BY 4.0"
"100","424","R_3R2gCgLvvJtf1tx","124","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2253453","Yes","No","Yes","","Yes","GitHub","https://github.com/Cartography0706/rivers","","","","","No","Yes","","No","Yes","Unclear","No","No","No","No","No","No","","Yes","https://github.com/Cartography0706/rivers","","","No","","No","Yes",NA,"","No",NA,NA,NA,"No","No","No",""
"100","415","R_3NTVT51nAvFhcbf","125","https://doi.org/10.6084/m9.figshare.23932518","Yes","No","Yes","","Yes","Figshare","https://doi.org/10.6084/m9.figshare.23932518.v1","","","","","Yes","Yes","https://doi.org/10.6084/m9.figshare.23932518.v1","Yes","No","Yes","No","No","No","Yes","Unclear","Unclear","MIT","Yes","https://doi.org/10.6084/m9.figshare.23932518.v1","","","Yes","https://doi.org/10.6084/m9.figshare.23932518.v1","Yes","Yes","Unclear","https://doi.org/10.6084/m9.figshare.23932518.v1","Yes","Unclear","No","No","Yes","No","No","CC BY 4.0"
"100","313","R_3qxoVLzYPXf3zKy","126","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2234434","Yes","No","Yes","","Yes","Figshare","https://doi.org/10.6084/m9.figshare.20289078.v1","","","","","Yes","Yes","https://doi.org/10.6084/m9.figshare.20289078.v1","Yes","No","Yes","No","No","No","Yes","Unclear","Unclear","CC BY 4.0","Yes","https://doi.org/10.6084/m9.figshare.20289078.v1","","","Yes","https://doi.org/10.6084/m9.figshare.20289078.v1","Yes","Yes","No","https://doi.org/10.6084/m9.figshare.20289078.v1","Yes","No","No","No","Yes","No","No","CC BY 4.0"
"100","621","R_31uPZRDqvEojZH4","127","https://www.tandfonline.com/doi/full/10.1080/13658816.2023.2241144","Yes","No","Yes","","Yes","Figshare","https://doi.org/10.6084/m9.figshare.21896445.v1","","","","","Yes","Yes","https://doi.org/10.6084/m9.figshare.21896445.v1","Yes","Yes","Yes","No","No","No","Yes","Yes","Unclear","https://doi.org/10.6084/m9.figshare.21896445.v1","Yes","https://doi.org/10.6084/m9.figshare.21896445.v1","","","No","","Yes","Yes",NA,"https://doi.org/10.6084/m9.figshare.21896445.v1","Yes",NA,NA,NA,"Yes","Unclear","Yes","CC BY 4.0"
